name,experiment,n,N,seed,ratio,train_error,test_error,gen_gap,train_accuracy,memorized,generations,restarts,seconds
random_labels_n8_demo,random_labels,8,5,0,,0.0,0.762,0.762,1.0,True,220,0,80.5
random_labels_n8_demo,random_labels,8,8,1,,0.375,0.75,0.375,0.625,False,974,0,540.3
random_labels_n8_demo,random_labels,8,5,2,,0.6,0.768,0.168,0.4,False,1532,1,540.5
random_labels_n8_demo,random_labels,8,5,1,,0.4,0.746,0.346,0.6,False,1530,1,540.4
random_labels_n8_demo,random_labels,8,8,0,,0.375,0.736,0.361,0.625,False,977,0,540.5
random_labels_n8_demo,random_labels,8,8,2,,0.25,0.753,0.503,0.75,False,979,0,540.6
